,Job_Name,Link,Machine Learning,Big Data,NLP,Visualisation,Data Mining/Analytics,Deep Learning,Mathematics,Object-oriented programming,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,SQL/databases,NoSQL,SPSS,Stata,AWS Cloud,Google Cloud,Databricks,Azure,IBM,API,Operations research,DevOps,Git,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,SDLC,Decision Making,Consulting
10,Data Scientist II,https://www.indeed.ca/rc/clk?jk=d7580fbf6d0cf06a&fccid=d7114f1cac8d0711&vjs=3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,,
11,Data Scientist,https://www.indeed.ca/rc/clk?jk=b4f1b63a4398c616&fccid=6c8a92081151019c&vjs=3,,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
12,Data Scientist,https://www.indeed.ca/rc/clk?jk=c07a743e9ffa3b08&fccid=537b899e30af3338&vjs=3,1,,1,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,
13,Data Scientist,https://www.indeed.ca/rc/clk?jk=3ba340b1c807a009&fccid=088981af222032de&vjs=3,,1,1,,1,1,1,,1,1,,1,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,
14,Statistical Analyst,https://www.indeed.ca/rc/clk?jk=19445183b7e9dc3a&fccid=27e2c072380e79ba&vjs=3,,,,1,1,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
15,Data Scientist,https://www.indeed.ca/rc/clk?jk=0e65fb477b66886c&fccid=617690ce838507f3&vjs=3,1,1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
16,Data Scientist,https://www.indeed.ca/rc/clk?jk=1b6df91ff192cc6c&fccid=734c0fa2088c6315&vjs=3,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,
17,Data Scientist,https://www.indeed.ca/rc/clk?jk=15c2b94a03f418db&fccid=5c98f9ffc20e640f&vjs=3,1,,,,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,1,1,1,,,
18,Data Scientist,https://www.indeed.ca/rc/clk?jk=6c7c04b422ffeb72&fccid=734c0fa2088c6315&vjs=3,1,1,,1,,1,1,,1,1,,,,,,,1,,1,,,,,,,,,,1,,1,,,,,1,1,,1,,,
19,Data Scientist,https://www.indeed.ca/rc/clk?jk=c819cae5aae4c3bf&fccid=7c09b9795120f0d4&vjs=3,1,1,,1,1,1,1,,1,1,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,1,1,,,,
