,Job_Name,Link,Machine Learning,Big Data,NLP,Visualisation,Data Mining/Analytics,Deep Learning,Mathematics,Object-oriented programming,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,SQL/databases,NoSQL,SPSS,Stata,AWS Cloud,Google Cloud,Databricks,Azure,IBM,API,Operations research,DevOps,Git,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,SDLC,Decision Making,Consulting
42,Data Scientist Co-op ( 4 or 8 Month Summer Placement),https://www.indeed.ca/rc/clk?jk=f857123d7bc780a0&fccid=ba8f17420d6035be&vjs=3,,,,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,1,1,,,,
43,Data Scientist,https://www.indeed.ca/rc/clk?jk=a50f90d7fcf674a6&fccid=799362a2faa3b40a&vjs=3,1,1,1,,1,1,1,,1,1,,1,,,,,1,,,,,,,1,,,1,,,1,1,,,,,,1,,,1,,
44,Research Data Scientist,https://www.indeed.ca/rc/clk?jk=101dbcb68375164f&fccid=510aa29fcf8f87d9&vjs=3,1,1,1,1,1,1,1,,1,1,,1,,,,,1,,,,1,,,,,,1,,,1,1,,,,,,,1,,,,
45,"Data Scientist, Financial Crimes and Cybersecurity, Senior Associate",https://www.indeed.ca/rc/clk?jk=453cfaddfbf69673&fccid=5e964c4afc56b180&vjs=3,1,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,1,1,1,,,1
46,"Data Scientist, Senior Consultant",https://www.indeed.ca/rc/clk?jk=50defeee3472806a&fccid=2dd390c3a48a7ed0&vjs=3,1,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,1
47,Data Scientist,https://www.indeed.ca/rc/clk?jk=94c4fe7af9489141&fccid=5434780ac3971e0d&vjs=3,,,,1,1,,1,,1,1,,,,,1,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,
48,Senior Data Scientist - Multiple Roles,https://www.indeed.ca/rc/clk?jk=8b8682c55db47522&fccid=d5a5824be27ba831&vjs=3,1,1,,1,1,1,,,1,,,1,,,,,1,,,,,,,,,,,,1,1,,,,,,,,1,,,,
49,Data Analyst,https://www.indeed.ca/company/SunnyFuture-Career-Ltd./jobs/Data-Analyst-a1800d6984190c21?fccid=d1afcae81392e688&vjs=3,,,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,1,,
50,Intern- Data Science,https://www.indeed.ca/rc/clk?jk=2336620e8a3c8a6e&fccid=3308ce641126a211&vjs=3,1,1,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,1,,,,
51,Data Scientist,https://www.indeed.ca/rc/clk?jk=9eba9802d5192217&fccid=0020889bfe35c4aa&vjs=3,,,,1,1,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,1
52,DIGITAL DATA ANALYST (DIGITAL AND DATA SCIENCE),https://www.indeed.ca/rc/clk?jk=bd80af8c4b6bc7c7&fccid=2c209e080b2e73f5&vjs=3,1,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,
53,Data Scientist,https://www.indeed.ca/rc/clk?jk=69e38e3474ca2a17&fccid=b7254da6203c84b3&vjs=3,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,1,
54,Senior Data Scientist - Product Sourcing,https://www.indeed.ca/rc/clk?jk=5216f360808f8bf5&fccid=d5a5824be27ba831&vjs=3,,1,,1,,,,,1,,,1,,,1,,1,,,,,1,,,,,,,1,1,1,,,,,,,1,,,,
55,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=be5ba2a5db1f9f4a&fccid=0ac3b933f5c5f8e3&vjs=3,1,,,1,1,1,1,,1,,,,,,1,,,,,,1,1,,1,,,,,1,1,1,,,,,,1,1,1,,,
56,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBZ5Cy4nNTE679cozgUBlM0UUpho0yycyaMrluQaWdF1xotmNA3EyCVkluTjBvuPOeDEQSOnFEbXbS7KOO9WSvUGO12pZs8xkygZFdKIJZxgrPoN2e_X3ZAKY5KaphAQoXg2854xJsf5iHJE6CoJCCAUnfDev-agcVmoXNTQiIGqg5W1UkzGyw6w1JmrdZEcnPV7xVMoF1Wpbk2couAG3uA6NwDy_tAwAWzntGOf6JuC1lrqh-NoNp2DXo1OcAu8vr0MHRaoECt-BjRJBaR4Vvx2WZgklybhSEQ==&p=0&fvj=1&vjs=3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
57,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AXBtxsLe9m2KRj_jCBdk184ANefrLFEPSzBzUevTHxVwzdFFWiCuUFfaZuy5dwRaMj5mCL0UEU0zImT-niN5AwOtL7_oWvk0ODx5hsNu4bQngYuf22su9ZAmnXrFu6_RTciQEPhjyJuMTyRq5voyJQoLFiGOz0vYxEgL2oQm_XVq0JoSuVzvRsGS9rPHZTzE1bRMCp700sK3kgGtSo9fFA5PT_N8yPIcmtHbn8y_JFhBxebY3ALhwrKKRWP3AR25dFUfP-nwPVQk5_JqTePGQWyXBOB296z2S21V8F3l6mGm5kD8KYUfovHgpZjPCwnssrcZbflfe7B3rqmn7SiaVn4c1R_JRJX9GD46sdch4vF1LwUaWMeSk2zyDvSHem2o_b5vlJs50QkGhuTqMtSJdSE5CRIi6fL7yaMcI3EMsHZw3vmSOmBCh87lMJBa8h4uVCNSJlgWUA4ncibrYRJN5Og9vIZYGy5eI=&p=1&fvj=1&vjs=3,,,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,
58,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuhtaewMu6iFdeh9Gmshoug2x9mAtaIPs38R98NmPsrjeLa7AUOcxBL670dRKYJQV9FVD7RkgRC8lCCyCg4tpq5n53Rg5ER-5bXfrR9ayp9kEG0ON-FVRCCOwSFRPNCSrbiFNx_qBiuUSCK9zOo11CjxUPc7h0E_UJsVnEvlty-aAMZBmtlGhILpqfqcXgYKw_UjVThQstOSiYltU_7PW2Hof6MMnvI6Uy_wbwUsbhsi9z5sZ1YAVVEWxLGH4N5feBkMJEj0j5_r2MX9QQOwQ0EswKCEuKModchpkKZ2_0S836LYBcen0125qpM_CbTHyNLy7VZv65n5P16rlC2S_B0mWUIOUBf8kU2_a7Oz5q1VYHGyM26NXVhskliCZQodeJrxRyvtMMD79d_dn8QOXK5tbqJ6p9M_It-rqZHpmYHeqnc=&p=2&fvj=0&vjs=3,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,1,1,,1,,,
59,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEdPUJH19AJmeXC_uAZ3YKV9p-Rd9QEgi-_v5tb8-Xz_J2AJ9-7IttSappXuXCaLJph5CoVT3bBtL8YWWG87KpZM2q4gRMF5gSI1dCzg319u42V7n2J2wWIcPFouJtzZoTKb5v98iLqjtMWGBBtylQXlheMR3tSQ3WAZvdKBWpAjpuZ0qwFnsB50BXVNItLxxNbwaKVWVB-JIPSaNs8tb5X6CaXWfNDOxOsxwDoY_AXEMg5gJvPurUfHiVCiBML5pQazE9nRh0eb_EsCB4kNDAX2h09BuQPNArg4gV27Z8e2laLQKKbtUmrcUCzsqHZW4Zg_aiACCHjkOKMAxDUoo4YpYwVtGg99ymJOkRr3b19ms8c4Ra5I5SzbniXwKbzeM0EGLUhcVpV7NEtPEjFPDH5JsNyJXDMRzLQ==&p=3&fvj=0&vjs=3,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DznJ5LOB8Sxa7QeEp9Xu-7tmqymb8VetCdACJvEZcmjLc7NxI4nl05s9y4FYYvp4ZyoOtZSbXRe2a3zpGcFuqApy31lt2V0W7jSAKgf8m4RxlrxXtm2Yi7bMznNljQDNFsAXrnOWrm8s-G4yQ2XN3llIVSvPkOSYgtHJvGe8WNtKRBIZbDCl55vc4J9fnShWMcwzXOZJKHjIpDz7Aj42xfi-AAy8OFuEMcdD5rjMtUF3TPQdllevOblCcpZC2tsmuAedSgST8wNow9YF4MpdXyhRJmeVfe4Ckzfppf4VQ2LXmA28mTv3IYNZA0oTWymiD2mmbLR6xYXKsbrrapsLUSLWLHqmYmvBgQe7vyyUk3XFu1bNO5PjPZP0SqV5dqVH07Nzvt7ir-9UAqvP1vGcddNLtdxckEiimoTHfBRLACpToIjVohOQLOvBxfEkbuEDY=&p=4&fvj=1&vjs=3,1,1,1,1,1,,,,1,,,,,,1,,1,,,,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,
61,Biomedical Data Scientist,https://www.indeed.ca/rc/clk?jk=43227d90e91cd55a&fccid=5d784228b1eee537&vjs=3,1,,,,1,1,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
62,Data Scientist,https://www.indeed.ca/rc/clk?jk=23030c22963111ca&fccid=163ccc336a959b8b&vjs=3,1,,,1,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,
63,Data Scientist (1 Year Contract),https://www.indeed.ca/rc/clk?jk=605c3999a3e99acb&fccid=237908de095b6446&vjs=3,,,,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,
64,Senior Data Scientist (Toronto),https://www.indeed.ca/rc/clk?jk=39f4a2ddae910b91&fccid=be7195d2ebb48351&vjs=3,1,1,1,,1,1,1,,1,1,,,,,,,1,,,,,1,,,,,,,1,1,1,,,,,1,1,1,,,,
65,"Data Scientist, Digital Growth and Commerce (DGC)",https://www.indeed.ca/rc/clk?jk=bc23125221c54412&fccid=de71a49b535e21cb&vjs=3,1,1,1,1,,1,1,,1,1,,1,,,1,,1,,1,,,,,,1,,,,1,,1,,,,,,,1,1,,,1
66,Machine Learning Engineer / Data Scientist,https://www.indeed.ca/rc/clk?jk=e2322f987b7eeab1&fccid=80413c126d4e4312&vjs=3,1,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
67,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=0339dc36d9d1343c&fccid=0376130dee20ed0f&vjs=3,1,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,,
68,Data Scientist,https://www.indeed.ca/rc/clk?jk=68a8634fb53a4854&fccid=353eb997fc901045&vjs=3,1,,,,1,1,1,,1,1,,1,,,1,,1,,,,1,,,,,,,,,1,1,1,,,,,1,1,,1,,
69,Sr. Data Scientist,https://www.indeed.ca/rc/clk?jk=54f8064bbcbd2c0b&fccid=dd73beeae0833b8d&vjs=3,1,,,1,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,1
70,"Data Scientist, Customer Data and Insights",https://www.indeed.ca/rc/clk?jk=49ae374aadbd9546&fccid=4854e96460a20478&vjs=3,1,1,,1,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,1,,,,,
71,Applied Statistician - Data Science,https://www.indeed.ca/rc/clk?jk=5b769041ea165225&fccid=4e917d9a3b14765d&vjs=3,1,,,,,1,1,,1,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,
72,"Research Scientist, Data Visualization",https://www.indeed.ca/rc/clk?jk=121d53014cdcdf10&fccid=7136762d065a5ad7&vjs=3,1,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
73,Data Scientist,https://www.indeed.ca/rc/clk?jk=0a6813878acc5ab1&fccid=68463a22f867589a&vjs=3,,,,1,1,1,,,,1,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,1,1,1,,,1,
74,Data Analyst,https://www.indeed.ca/rc/clk?jk=7fe266bc5662431d&fccid=68ec8a8ee6cf5ac6&vjs=3,,,,,1,,,,1,,,,1,1,1,,1,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,
75,Big Data Developer,https://www.indeed.ca/rc/clk?jk=606cfdec60c2df3e&fccid=4c22ae79cf9a9685&vjs=3,1,1,,1,,1,,,,,,1,,,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
76,Data Scientist,https://www.indeed.ca/rc/clk?jk=5415fdde776f67a8&fccid=837c958b2711fe23&vjs=3,,1,,1,1,1,1,,1,1,,,,1,,1,,,,,1,,,,,,1,,,1,1,,,,1,,1,1,,,,
77,Senior Data Scientist - Natural Language Processing (NLP),https://www.indeed.ca/rc/clk?jk=7de47385732d5e6b&fccid=ec55bde5facc64de&vjs=3,1,1,1,,1,1,,,1,,,1,,,1,,1,1,,,1,,,,,1,,,,1,1,,1,,,,1,,,,,1
78,Big Data Engineer,https://www.indeed.ca/rc/clk?jk=2cbef48dd42ca683&fccid=cb33d34834ce43c4&vjs=3,,1,,,1,,,,1,,,1,1,,1,,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,1,,
79,Big Data Operations Specialist,https://www.indeed.ca/rc/clk?jk=3d21f94162b7c899&fccid=4271edc9c2f82254&vjs=3,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,,,
80,"Associate - Quantitative Analytics, Structured Finance Modeling and Analytics",https://www.indeed.ca/rc/clk?jk=6ed834c6b0bb3af5&fccid=b6cbe54d4f54ff6d&vjs=3,1,,,,1,1,,,1,1,,,1,1,1,,1,,,,,,,,,,,,,1,1,1,,1,1,,1,,,,,
81,Senior Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJgnpdx0xJ87alvjZ1xKHIgqutu4xY7bou202oXhe8R9mRUID4nH66E8XxXhY-hQ7xraA7JRS5qMXHwC-k0tK6sseFWGbWJC-MDrhcbnPtl9FyEE9E_1jOGYWt1wSQ6aQgP88Ya1ockP_JLDBwyYCxmgn7SaPAf5x8HYDtA5DpIM-fky1vJL8--VLZXI_EJsn22hWBGfjqHaAFiAKDmRHYkIiyyjE7tnTIXdR49xJJreYlAbJDaNScUhuore7teHU7Mci3CjbruPGEmBF6qvV7jrtaLx67aAvyHNcmQ5r1p0d3dLPn_d_pRmymunxgDWI3ECd4cXzMaJyMETyPWdw2Z9iqyL03ju1qne__Y5CApPDtA9jBs-AaKklUIZcP9zrKFad9yj1LrCfP5g_TVhluOWF_9znU-1f74=&p=25&fvj=0&vjs=3,1,,1,,1,1,1,,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,
82,Python Data Scientist - Research and Engineering,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BFUzwZI7hB6sL3-1CSRuneG5TadXY2WMHKQsf1P6r6k45m7TN6EVbfDXe_axt3BS7b6n5egkEfAym44vnFG7hMQfQR9CMQJY7kizhXvr3KH6LDtowaKUEt7PpbGXqDrHT7Jth6vyLAa51j_VZf5cBffg5pBda816ZUiy6m73uas4KwZqQAMlPNaBYSLjB8KI0S6vApMCDOzRwRn6gvKbjQ4dZxlilS04QmB1AKUS69U8vMhKH4kWCMyo6Fkp7Y3XgOPsEep4qvrBZyoTje2JhZlFn-DrokqSNZYqOn89rr1etC27YQxWG4ZAAWuqq5Ye2wc1_fmdzhqX9H-b7CcUbQ1-aadw_xRbzrnBc-nNQsm6fHxSuj6JoOttWtck00QUdGx9bW0ilFyd6UKoaROOod3ydQleKYAoWOTm_-KaA_WEliosABYFZD3CcP2hZzVX3Mhf5Zt9OPs9JitMGxEj4POk213HxOn9ln5q6aAOtweg==&p=26&fvj=1&vjs=3,1,1,1,1,1,1,1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,1,,,
83,"Data Scientist, Financial Crimes and Cybersecurity, Senior Associate",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CFuo8Y6gfchSUHQ1--N7NldjQkI7yBNtHdUdaTqsTp_wgBx-mCezkojpE1FqImCDcdMpTknceFKa1yqHEfg7eAzIRiEPi0KnsHBrUZqxbRZ7zRnwJLbU1gJumxWF0-bCwuOKher6Wuzrh9SqRxKGwEj9kdBxL0AjCt6vaubMUoTw9RI8r1exoMcavAw_sny-huS5HEvGqOpzjKAC9ekmWYp3Eo6-UqMz28D16JtAiEa0xn4BGWXY5V_JonW7OJeCdmcBg_X6j8miexRDbSAAF0hESTd6pwLT8b7AbPMuQZ2oyewecFIcgiLBzx0038h8xZhwWRTwOTzMGNY-Cfckd0Y0uLLYIkRLAYOim2moHZS_54PRVguTe9UrRjEQyB_QRsoHjCpDAwyNe-0PvciKVhhfIxbKJrTfvuMJx2fb3DZElUWHwnxiW-_n6jlqFflmhtD0Tn8V9MonOlF-2QWfrvEumsc0EvgnfM_f9Kehi2LICuCDDqm1kp2BfzSDEtTQ8Uc4M2Cksp3EDdkbrOikUE6Hxy7f33J_szALeXZcXUDapQJmnFfWZfKiqQKV0jpSutVWW42MnaXlvD93K2DESP7gGtpiEuROSsVw7Z21zfuMqM9Cxvvn3t&p=27&fvj=0&vjs=3,1,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,1,1,1,,,1
84,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuhtaewMu6iFdejfoCcpyl2xAQQs0mxZkhWJFjQloKGbD7Tw-MxfXtEv7k_IvU6cpITX5pSDGVoDQTz7WO8ybbgr5ti8zkVmNTUii7jjUSTrIJRwA3B4kstomUJEO4w2SmWp8QaFUckDZZuJKrR36GKi7mj_8mQ1YFwlpcE1ANON-DbHiXO635mdPqfBxEc0qJ4dLUtFFHA0hK_mOh2ZRBn_qoWosOg3CJxGx0qZbWujKkcp1MCVVSF35Az6rxK7tjISBg2H5oKQ7CmGwDnDDCoqOKOWEJ6bPU1QUVRYRP0G-sZy_F_KFKwcdrgy-hiITo-ZdF_nrr-4aqqJewdP3Qx7DAOJpzA3FaccJuSDeOpP76e5lbcsKjmbrkabg1LG4PLoWALn9Tqfjc8z2jaizgxrTfnUqjaPmBwLQiKpIG-lBm0=&p=0&fvj=0&vjs=3,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,1,,,
85,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DznJ5LOB8Sxa7QeEp9Xu-7tmqymb8VetCdACJvEZcmjLc7NxI4nl05s9y4FYYvp4ZyoOtZSbXRe2a3zpGcFuqApy31lt2V0W7jSAKgf8m4RxlrxXtm2Yi7bMznNljQDNFsAXrnOWrm8s-G4yQ2XN3llIVSvPkOSYgtHJvGe8WNtKRBIZbDCl55-goc3txfTBrfKwurzI7MCrFVtuC89lH2ciaCs9p0Z2locVkSaP17ujotfHtJvMTCqAh5y0DG6dVpexpbJB4Ja0Ks5dLhGD33FZcIqkbxpFTk-RRtcUuNYzf0wRa4cw8vbptiUsHNLVNEksrZHWxMn8O1qZ_y7wZvtQr6YDigoFj44guSq_YNszoeaz7NQpMMdaT8quDif4lG0T-4_J8PoNtUuMT6im-bypf1F8aJiL-8lNCggVWwGHY4-_d4RVdRW_zm1jqc9-o=&p=1&fvj=1&vjs=3,1,1,1,1,1,,,,1,,,,,,1,,1,,,,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,
86,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBZ5Cy4nNTE67svdPlpqeX3B5TJE9chqrXsZ-husyNP8pk-4QV47sgAImX3ggG3YhkVcPqLHZN8MidLf3_75mno274K7dEilDoJr5cTaAfMlOGGHz6RUi6kaiTtHLrFQDk0pvk-7gE2BS4qNLnUhFew6GPbTHHBvKkpUXQP9kKUXP_qwaZPYv0k_pi8rIvQZ9VTWXc2mJXIHX0vmDQ2oTm8u0uc513S8xfO5GBAkqE1KW-a1Y6DHILsynTXTdQ1WMOkuyr9WI8onoY3mFNbdn2ndUXg7dtR54mw==&p=2&fvj=1&vjs=3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
87,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AXBtxsLe9m2KRj_jCBdk184ANefrLFEPSzBzUevTHxVwzdFFWiCuUFfaZuy5dwRaMj5mCL0UEU0zImT-niN5AwOtL7_oWvk0ODx5hsNu4bQngYuf22su9ZAmnXrFu6_RTciQEPhjyJuMTyRq5voyJQoLFiGOz0vYxEgL2oQm_XVq0JoSuVzvRsNlOMPgT-WKaNxsoAe0McclsOc98Y3HUH87iCdejw5Cf9Zr0wUz_fx2vF55i6XtpW8X5EWt8xytnLPSkwJIlJCziHgBfDI8uv19zmM49CivDaSaJhttvPdm0Zni_p-oEFN0K4db3w-LTTfRZph7PdmQHGWYcVnD30-LQrcks6FH8vvkNoaLg-5La9jcTU2IGY8kqILmRNu3AFn5LTmScNdrtUyKxkgCA1_foSeKybvtTLnTQdlj9CVmJop1Du7f2Idip7QT0kb7cOK3Eqr9hQd1JCcDofxXLVkAKhc52oItI=&p=3&fvj=1&vjs=3,,,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,
88,Python Data Scientist - Research and Engineering,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BFUzwZI7hB6sL3-1CSRuneG5TadXY2WMHKQsf1P6r6k45m7TN6EVbfDXe_axt3BS7b6n5egkEfAym44vnFG7hMQfQR9CMQJY7kizhXvr3KH6LDtowaKUEt7PpbGXqDrHT7Jth6vyLAa51j_VZf5cBffg5pBda816ZUiy6m73uas4KwZqQAMlPN_oEKqPUB4atS4aJ-lBWK96jTweBhdHfqYyFMwhwXjj7c4kndBbJZLN6TGkbs_q2uJetvake_s_kXZTukU4MvYX5HW1z5etdeZCmCHmPBqHsupO64a2-4PwyK0IKP6DyH3YAZJk9Qy_XeeCsaN6kuywG6gPPXvIgl8OLwBrXDbTY1BUl7_h2_SIzUx429tCWbjUUZKpUnZ3G6-Ouedvt2kxbOsaHJeBA1EJcTmTzpVZEPQdB_pKZJVF7ZBJX26sTCHHCXeRSFxeolq6Sp-2zwi9WkoLSxUbVvINMVTgQ3k1qEJpuGHXNzJw==&p=4&fvj=1&vjs=3,1,1,1,1,1,1,1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,1,,,
89,Senior Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJgnpdx0xJ87ajeIjMaEBDQZCNqojXZrKf20qwbsU3t2XAr42AsVaVguupRCj8l5i6_EEhVLrSVL7oVo_EB2dmdi6ITVGSFqrqH_U6i-rWB5wJ3mB1BehsuExpkF3xm518yZyPxatBEYBuxNUPrXgq2kn_fkkuxNxKBQf1p_8QXK8AFS3ljWTmymYWE6IE8rWguJe40gOFKKCaFYZiIS1VxWQMoNpSzGXg4M1qzk8FLEJcQaWea7As-ttBeqQI9WnIKn2Iw0rlSdzV_DkZbSjm0ebV-rCQzfChyUSucn6p7HQf2KuwayOawI0cSMOlfdDFgtACVxc0-SS9purkucZocXY6Xxy9WhA90QtIJw0PTBqdviGZZ2GFAQMMNdY5I7j1GE2zO-10xgXM77eBmt2_XAW3npmMb5rhE=&p=5&fvj=0&vjs=3,1,,1,,1,1,1,,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,
90,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=ef8a64231853d6e5&fccid=3002307a9e5b4706&vjs=3,1,1,,1,1,1,1,,1,1,,1,1,,,,1,1,,,,,,,,,1,,1,1,1,,,,,,1,1,,,,
91,PySpark Big Data Developer,https://www.indeed.ca/rc/clk?jk=ac06595f0acb262c&fccid=1e1b063b57efdd06&vjs=3,1,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,
92,Data Scientist,https://www.indeed.ca/rc/clk?jk=ede5b31f905e13b1&fccid=1bf77f1dd2c2631f&vjs=3,1,1,,1,1,,1,,1,1,,1,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,,,,,
93,Data Scientist,https://www.indeed.ca/rc/clk?jk=39de5582a4da65c7&fccid=2c0a62ec8f3ae315&vjs=3,1,1,,1,,,,,1,1,,,,,1,,1,,,,,,,,,,,,,1,1,1,,1,,,,,,,,
94,Senior Data Analyst,https://www.indeed.ca/rc/clk?jk=89ff3ce017711dd2&fccid=af33012bc464ab62&vjs=3,,,,,,1,,,1,,,,,,1,,1,,,,,,,,,,,,1,1,1,,,,1,,1,1,,,,
95,"Manager, Data Scientist",https://www.indeed.ca/rc/clk?jk=63dc077938995280&fccid=3002307a9e5b4706&vjs=3,1,1,,,1,1,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,
96,Principal Data Scientist,https://www.indeed.ca/rc/clk?jk=bf06f5c62c377793&fccid=510aa29fcf8f87d9&vjs=3,1,1,,1,1,1,1,,1,1,,1,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,1,
97,"Senior Analytics Advisor, Data & Insights",https://www.indeed.ca/rc/clk?jk=79b73c2fd27eaabf&fccid=047c26a97a04fb5d&vjs=3,1,1,1,1,1,,1,,1,1,,1,,,1,,1,,1,,,,1,1,,1,,,1,1,1,1,,,,,1,1,,,1,
