,Job_Name,Link,Job_Location,Mathematics,Statistics,Linear Algebra,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,Object-oriented programming,SQL/databases,NoSQL,SPSS,Stata,Access,Data Mining/Analytics,Visualisation,Tableau,Power BI,Matplot,Machine Learning,KNN,SVM,K-means,Multivariate Analysis,Regression,Classification,NLP,Deep Learning,Time-series,Simulation,Big Data,AWS Cloud,Google Cloud,Databricks,Azure,IBM Cloud,API,Operations research,DevOps,Git,SDLC,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,Decision Making,Consulting
10,Data Scientist,https://www.indeed.ca/rc/clk?jk=3a9b41f988f1d892&fccid=6f3228bb1fd5a299&vjs=3,Montreal,,,,1,,,,,,1,,,,,,,,1,1,,1,,1,,,,,,,,,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,
11,Data Scientist - Price Point - Start-up company,https://www.indeed.ca/rc/clk?jk=1487b853ca4ec55c&fccid=8d08a26504cbffaa&vjs=3,Montreal,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Data Scientist Intern,https://www.indeed.ca/rc/clk?jk=6ca3c36df1e4b6c9&fccid=f8529b1ea6204edf&vjs=3,Montreal,,1,1,1,,,1,,,1,,,,,,,,1,,,,,1,,,,,1,1,,1,,,1,,,,,,,,,,,1,1,,,,,,1,,,,
13,Connected Aircraft Data Scientist/Engineer - AHMS,https://www.indeed.ca/rc/clk?jk=88e9a7fe35f75441&fccid=b3f8eab3b50969f8&vjs=3,Montreal,,,,1,,,1,1,,,,,1,1,,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,,1,,,,1,,,,,,1,1,,,
14,Data Scientist,https://www.indeed.ca/rc/clk?jk=75e7a5da4954b3e5&fccid=42ccd87a2c182a30&vjs=3,Montreal,,,,1,,,,,,1,,,1,,,,,,,,,1,1,,,,,1,1,,1,1,,,,,,,,,,,,,1,1,,,,,,,1,,,
15,Data Analyst,https://www.indeed.ca/rc/clk?jk=03237c071c0a5f16&fccid=237908de095b6446&vjs=3,Montreal,1,1,,1,,,,,,1,,,1,,,,,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,
16,Data Science Analyst- 4 month Co-op/Internship (Summer 2020),https://www.indeed.ca/rc/clk?jk=f2009eefe1d2a97f&fccid=be7195d2ebb48351&vjs=3,Montreal,,,,1,1,,,,,,,,,,,,1,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,1,,,1,,1,,,1,1,1,,,
17,Data Scientist (AI),https://www.indeed.ca/rc/clk?jk=f5393e3f966fdd13&fccid=237908de095b6446&vjs=3,Montreal,1,1,,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,,,,1,,,,
18,Data Scientist,https://www.indeed.ca/rc/clk?jk=96535ff59507a410&fccid=412e8fed3106e02e&vjs=3,Montreal,1,1,,1,1,,,,,,,,1,,,,1,1,1,,,,1,,,,,1,,1,,1,,1,,,,1,,,,,,,1,1,,,,,,1,1,,,
19,"Data Scientist, Intermediate or Senior",https://www.indeed.ca/rc/clk?jk=0196520cffbb1247&fccid=79a40753bd948694&vjs=3,Montreal,,,,1,,,,,,1,,,1,1,,,,,,,,,,1,1,,,,,,1,,,1,1,1,,,,,,,1,,,1,,,,,,,1,,,
20,Data Scientist,https://www.indeed.ca/rc/clk?jk=c6d9be047e211040&fccid=0fc2bf5898bde347&vjs=3,Montreal,1,,,1,1,,1,,,,,,1,,1,,,1,1,1,,1,1,1,1,,,1,1,1,1,,,1,1,,,1,,,,,1,,1,1,,,,,,1,1,,,1
21,Data Scientist.,https://www.indeed.ca/rc/clk?jk=f00f3f5f9e899a5a&fccid=6f679e2241486aec&vjs=3,Montreal,,,,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,1,,,,,,,,,,1,,,
22,Data Scientist - QuantumBlack,https://www.indeed.ca/rc/clk?jk=6dce79618349d94c&fccid=6576e7250aa78c3c&vjs=3,Montreal,1,1,,1,1,,1,,,1,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,1,,
23,Data engineer - AI & Machine learning engineer - 288450,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7ntxl6CekgI_C_eB9GynwrpNC04FgauBtdEorIjWa6_VdgYjzO89gg1CD3dXdcuXjHc2WPgrT30uttMk61HIwZXsobsTIjUbk_sfAoJJob926Osd-F8wXNZTKpQNjoiLaAXZn9toJa3475dBpwcNiq4RNKnue352ysbAd_WpXCbHXBanDXYX4C57PDIXsriqcxQAPfgJ_hSbAEbx4pQEj9lu6VWnbOsgkDwGApm3p6HMB9cgM7EzTfeG2yVihJ8BICr3wLkaukhLueIy9cqVE6zEBYYAGd01wpPpo0bScX7YZhWVEcuizZuA8d9Vmr0V3YcqzaYIJir1JOEWCJ1Stkx3K40G5Wh5Q8MbPZ5MbZhOu6EpP0702X8ywA8RVMWH1ETuoxRHyFujdxDJBSTZpclTc-y7CxF5_A03Ll3OCFaJG8Yt_WrbHmpevXSeZkk7ckQMX_imlYPyRZDy8eXMPZ9mG3O0VLIHd_Lm3FbYHG1y0ER-ZJ-w28ntZVpMFhUugpjvjBLKbDlW8Zw88OGmuP3d1KjewMFREVT&p=23&fvj=0&vjs=3,Montreal,,,,1,,1,1,1,,,,,1,1,,,,,,,,,1,,,,,,,,1,,,1,1,1,1,1,,,1,,,1,,,,,,1,,1,,1,,1
24,Scientifique des donn??es g??n??raliste / Data Scientist Generalist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0D4txbjH7ro9xYYrOeCAZxmIEAGZhBq5gXmyVMSZSr-Y-uHReKII_9YbpCP9IYRrOJzJg2RpsHIS4N035vvNzG6zZdGqtnzyFqXJTFZ2IRRKjKCFdn147ynsZUT8Pvq7oJ2EMP8gCZu1Hq_QRRlmDMxa2yabfj54cjUChYkg7g-IAfeUwc8b--5s8w175NTWXIKkXbX1nggaVQ-eTcpnU3DpLIjkf0Y5TUe2ZZSUkrghCisQmWkTMH2O9wA9goL06W0xDxwZFRO3_wETiGD9oicX1mygm15_ylxuirqGbs9P7PZBkiZwdbuDJqm98d1dNF5BLHinS6tokLR70yzmLHuKsC0KjO-Fnn1DHD3kcVn2o8ZHRbV3f9W9QA4a_v-wwYrDzDYnSQ8nto2_tm34jJIvEmV_jCx0_TszoG65-I_3MBiLlid3rpRCdRAeqO2dpJBkIFXqa1Axh3sK6ZOZpytpeEsI793_68isuQFlKvyGILwl8MNZ67grjjIL3D2ePzcL2_ZAiHu1AVLayEq06WACO6aPi_80dgeMkYFs_Lqhw==&p=0&fvj=1&vjs=3,Montreal,,,,,,,,,,1,,,1,1,,,,1,,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,
25,ML Product Owner / Data Analyst,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CDcu8ogXRoN9QHj5cFxdvYgI3vgl5QADb-mUQIfZmECfZyGJmSVfJ_x7olgg9Kxhjgvq4gsEHjcz3vQnIGORuPdq4WxW1H4FQqGsrPGreQx9fsDYP90n9Ra0soHOAju5OV3BAA5AKj6nSG03ySlB0Sa04OxNfqJYVCP_C3TPB0tvB_RL2MQiojitL1s0-ihOh5RzjIZhcjz4xlEGpdzGn-kbF0wXQNTYHA1knkfKhkr5AqiyJB53605ApWWkYGgU4Ms0Gtz4HU5yAvhcaPuwgI9YTTl6kCAKLaEsUWGT70oXMkbvhQqYDQcKKIs0mb55JtaLF_FcbtcpKXFbbUlEbpiSUXbzsh6R9kKbyJOvFmiBUg3cOJzrhqL2awHvMWm34_tlWg8sWV_fAoG_lUin13jWmbVacB_46SoEzwDh9KREk0nXoCGZ9DWA_PxY33Bl079ODwrPQZksWeU4_xyt_v&p=1&fvj=1&vjs=3,Montreal,1,,,1,,1,,,,1,,,1,,,,,1,1,1,,,1,,,,,,,,1,,,1,,1,,,,,1,1,1,1,1,1,,,,,,1,1,1,,
26,Data engineer - AI & Machine learning engineer - 288450,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7ntxl6CekgI_C_eB9GynwrpNC04FgauBtdEorIjWa6_VdgYjzO89gg1CD3dXdcuXjHc2WPgrT30uttMk61HIwZXsobsTIjUbk_sfAoJJob926PaELnc8ZvCVAzv2J4bE8IhKrog5hz-QKzoclGj5QjjwYYSeh7i2hUXGu75loaNFURqwWofTVvpo12nJm0fsLu9temnKu2jI0TfvWQk4BcTtBqtzqhuGsnA81aUyxMY5HJDYxDxD5IBlDJy7FKDAMQHl-6gToXeFWCQasCt8liJvYyJBAD94bJajcARP7iM7wdS8hWTFGCY9YUlQbXtxicCDoJPATqE3rsvm0TzKSVWNnHy0oIMyLGwB3ja8zje7NeatmzyjAAtYpQNGuFS80tlcYarMtCX5AwYOoN6P2fpwd5z1FS_nYb_K2deNicqCnP3Ng_IPudIE93RlXz00XNwQkldMWQOkabNBLH3Uco9z7p6AuJmsR_g8pg6A8J8HgowreYJrYUxBbW-LVwcHIU68UV3z940C7SYyNUkmHeYNN-FFXh91VURBs57fHGtQ8c=&p=2&fvj=0&vjs=3,Montreal,,,,1,,1,1,1,,,,,1,1,,,,,,,,,1,,,,,,,,1,,,1,1,1,1,1,,,1,,,1,,,,,,1,,1,,1,,1
27,Data Scientist (Machine learning),https://www.indeed.ca/rc/clk?jk=9025adc81d6356ee&fccid=237908de095b6446&vjs=3,Montreal,1,1,,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,1,1,,1,,,,1,,,,
28,Senior data scientist,https://www.indeed.ca/company/BrainFinance/jobs/Senior-Data-Scientist-1a53e6be2bf2d807?fccid=7d3c5093a624a4ed&vjs=3,Montreal,1,,,1,,,,,,1,,,,1,,,1,1,,,,,1,,,,,,,,1,,,1,,1,,,,,,,1,1,1,1,1,1,,,,1,,,,
29,Scientifique de Donn??es / Data Scientist,https://www.indeed.ca/rc/clk?jk=b0705f90944a7430&fccid=58085decd34c3cfe&vjs=3,Montreal,,1,1,1,,,1,,,1,,,,,,,,1,1,,,,1,,,,,,1,,1,1,,1,,,,,,,,,,,1,1,,,,,,1,,,,
30,Scientifique de donn??es - Data Scientist,https://www.indeed.ca/rc/clk?jk=8ef058923d617b5b&fccid=354f4c12e3c6bd5a&vjs=3,Montreal,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
31,Sp??cialiste CRM (D??bute le 4 mai pour 15 semaines) / Data Scientist (Starting May 4th for 15 weeks),https://www.indeed.ca/rc/clk?jk=b651c9e1d024ff24&fccid=bfdac90a7574b77c&vjs=3,Montreal,,,,,,,,,,1,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
32,Senior Data Scientist - Hotels,https://www.indeed.ca/rc/clk?jk=1e2e9ff9acd1240e&fccid=71eb96af97fae7e9&vjs=3,Montreal,1,1,,,1,,,,,,1,,1,,,,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,
33,Data Scientist - Marketing (m/f/d),https://www.indeed.ca/rc/clk?jk=2043148f3833f527&fccid=53b598cbce5832a6&vjs=3,Montreal,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,1,,,
