,Job_Name,Link,Job_Location,Mathematics,Statistics,Linear Algebra,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,Object-oriented programming,SQL/databases,NoSQL,SPSS,Stata,Access,Data Mining/Analytics,Visualisation,Tableau,Power BI,Matplot,Machine Learning,KNN,SVM,K-means,Multivariate Analysis,Regression,Classification,NLP,Deep Learning,Time-series,Simulation,Big Data,AWS Cloud,Google Cloud,Databricks,Azure,IBM Cloud,API,Operations research,DevOps,Git,SDLC,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,Decision Making,Consulting
10,Jr. Data Science Developer,https://www.indeed.ca/company/SkyHive-Technologies-Inc./jobs/Junior-Data-Science-Developer-e1c3cd2745c5a196?fccid=4a1dc72d5148c33a&vjs=3,Vancouver,,,,1,,,,,,,,,1,1,,,,1,,,,,1,,,,,,,1,1,,,1,1,,,1,,,,,,,,,,1,,1,,1,,,,
11,Data Scientist,https://www.indeed.ca/rc/clk?jk=ffd9494267cb9bb3&fccid=3978229785e77296&vjs=3,Vancouver,1,1,,1,1,,,,,1,,,1,,,,1,1,,,,,1,,,,,1,1,,1,,,1,,,,,,,1,1,,,,,,,,,,,1,,,
12,Data Scientist,https://www.indeed.ca/rc/clk?jk=bb6370f3733578ab&fccid=4a1dc72d5148c33a&vjs=3,Vancouver,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,
13,Data Scientist - Price Point ?€? Start-up company,https://www.indeed.ca/rc/clk?jk=19986b3e9077c8d8&fccid=8d08a26504cbffaa&vjs=3,Vancouver,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Data scientist (summer intern),https://www.indeed.ca/rc/clk?jk=61b87c72968ffadc&fccid=b1bd9b34a39d5dcd&vjs=3,Vancouver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,
15,Data Scientist,https://www.indeed.ca/rc/clk?jk=8da501c3c9ecf27a&fccid=e98b37c86f8eec83&vjs=3,Vancouver,1,1,,1,1,,,,,1,,,1,1,,,,1,1,,,1,1,,,,,1,1,,1,,1,1,1,,,,,,1,,1,1,1,1,,,,,,1,1,,,
16,Data Scientist,https://www.indeed.ca/rc/clk?jk=9a72f72fb4ac3349&fccid=ba0258f8d688a88d&vjs=3,Vancouver,1,1,,1,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,
17,Data Scientist,https://www.indeed.ca/rc/clk?jk=5e89eba02c5eb6ac&fccid=dd616958bd9ddc12&vjs=3,Vancouver,,1,,1,1,,1,,,,,,1,,,,1,,1,,,1,1,,,,,1,1,,1,1,,1,1,,,,,,,,1,1,1,,,,,,,,,,,
18,Senior Data Scientist AI@Unity,https://www.indeed.ca/rc/clk?jk=b828405129aea915&fccid=880e4714f2ad94a8&vjs=3,Vancouver,1,1,,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,
19,Data Scientist - FIFA,https://www.indeed.ca/rc/clk?jk=c0ae68331131f536&fccid=617d7f961cfcf54a&vjs=3,Vancouver,1,,,1,,,1,1,,,1,,1,,,,,,1,1,,1,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,
20,Data Scientist,https://www.indeed.ca/rc/clk?jk=154d0bb80bf65630&fccid=7b7909227bb8e2af&vjs=3,Vancouver,1,1,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,
21,Jr. Data Science Developer,https://www.indeed.ca/rc/clk?jk=499d95e04a3541b4&fccid=4a1dc72d5148c33a&vjs=3,Vancouver,,,,1,,,,,,,,,1,1,,,,1,,,,,1,,,,,,,1,1,,,1,1,,,1,,,,,,,,,,1,,1,,1,,,,
22,"Data Scientist, Analytics and Machine Learning",https://www.indeed.ca/rc/clk?jk=5910af252937b30c&fccid=0d3fa1b8c4aea5ad&vjs=3,Vancouver,,,,1,,1,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,
23,Data Scientist,https://www.indeed.ca/rc/clk?jk=c93119cc55a5d6a0&fccid=163ccc336a959b8b&vjs=3,Vancouver,,,,1,1,,,,,1,,,1,,,,1,1,1,1,,1,1,1,1,,,1,1,,1,,,1,1,1,,,,,,,1,,,1,,,,,,,1,,,
24,"Sr Data Analyst, UFC Mobile",https://www.indeed.ca/rc/clk?jk=66f0ac4e7f12125d&fccid=617d7f961cfcf54a&vjs=3,Vancouver,1,1,,1,1,,,,,1,,,1,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
25,"Lead Data Scientist, RACE21",https://www.indeed.ca/rc/clk?jk=2b8e32e32a1ae29b&fccid=33dfaa8965cf2bf4&vjs=3,Vancouver,1,1,,1,1,,,,,1,,,1,,,,,1,,,,,1,,,,,,,,1,,,1,,1,,1,,,,,1,,1,1,,,,,1,1,1,1,,1
26,Machine Learning Engineer,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0A7000hUPCMxGwW2vqsju70Hf0EmrA2m_tK6c2VLeUIj5C-hNWZWv1liZIjGouVFiVOg6OT8CpUmF1n_f11WJfONSxoCVSVD-pmGRoRLbRHfApxYpkLW8SR1oTN6-QA-ZuEolVZSBnNmS07jnBAipSSfGkhxjLhYQ9wKUIBadUBbp54zgkP-H-kyIvDlEOMT2SmdWCqutoktqzPGfMqBoDU4dvNOt3DUTgQxfL51r3A76e1zxfSRhAoLbd8V18KMjFR4YZG3avaIyNp7ToUzt9NmrkGLGaoUPzzST0OZgAZpBhiVPt4FTmpOuzAGHhcQGk-mwEmBUBvKJgNK4oMg-yY2efk10cxL1zwDB0iQC6xxgD74buZhnbQ30-lXYBfXuZjScaBarldWqXX_V9m1vgSgET1EbtGtiZfF3AGsNv1vnbs0MPHjxU1fPxYKF-4IGEyaY8kDMiHiidchfmaZfr3&p=26&fvj=1&vjs=3,Vancouver,1,1,,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,
27,Data Scientist - Price Point ?€? Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVIbTLeSDpYan5EjveM5VSQwxb-wIO8ETF4oPSskyJ3pEfTv-zY2o0QbQu5_0OiN2yCjGhN3QnRe8qiMdVFW4YY4g9mCzo-k9nd84C_4lnVP-mtXKK2wY5QSW6nZKhUcNE6xWOh9k70BdlVSrPXP_Fns9BVnLrHntyDUZTHR-jqb-AtzWW3S4Szbq2YZTDrU8EMQBhFgohYCjDPZy5b6MUQqXgGIFeDFwWtqaBwUi5ZUJPK0vdab6G1v_YlB80UggYnAVuRH_SF17R-6iIb_mGnpta9n1LcV1Kq9K5VgALepTUP5HONUvrvhYiriYx1S71vjAiIxtSyTQrdPUHSW5Y1i7j_vGTrYGOwqKSRRqhGwJJb5uejWwmLp2hNScetbEnBRQGmHZei-ICNvASRYVgcz8c4lP5hfY6NS_k5XcLLG5siHQCExY9k4177UC1l3ruZ9q_Uwh7fsRUJDM_EbINa1E8qy3rLQqvq-jLM0U1D6jBBPg5fv6BZNViaZLyj8qknEWhsg5_CuP&p=0&fvj=0&vjs=3,Vancouver,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
28,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AxBcP6HhQEU3zmHoNFqyX3B9I-4Be35b4HknnWHPZOgeuwSghkS3NkeR7ZiZXPX-f-aI9oGN5K_2g6eOEzQa1r1W3NCqkbdb-D2VldDgGH4NAMzWSjaMWbc9_Bf0XdlcVZE2L3jReRcm_TB4rJfeYJMAbDW6oyAfWG9ixNBwfFiX1B0et5AiDUsnkmwpZwytF_c9bg6b5EAykK8KjIdjxiyOkPJTHnQwpFIyjq3UjVbcAZ74rPRcLXpmCcQ_R_IfxYIEl-7vc9sYhkDAe2QBwb338kKY2MoMGEAO8l5E6u33haQ7Enwgx9oriq8WTYeS9KFQ6w10Lbiy2XDEvJQ30nukO6JqXkdSwcP2c5JBp8UZpE9S9nV-aIKNVqygg11rPX60RJfhfmBkdXz-PhLVIEli6pdilzpnXhe-2KHqgks1Ljf8dzojKbyOiaG5AHW4NAbW9jhi9xzdQVkIT688xF&p=1&fvj=0&vjs=3,Vancouver,1,1,,1,1,,,,1,1,,,,,,,,1,1,,,,1,,,,,1,,,1,1,,,1,,,,,,,,,,1,1,,,,,,1,,,,1
29,"Summer Camp Instructors - Film, Robotics, Java, AI & Data Science, + More!",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CNcpJbx75BWsvBL9R7x7Y_VD3CTIput4kyPakBFyE1nhmQ6JjQgOugrn4IvQWSn84olPPBUEy4G42xqj4Yz8F5pNfbZ5wBVPNVNzc40w8TYsD9TJx7I5bZOkb6nEqPjiiQlytIiKtFBRjgC0cJ10LEQ1GjzIcUH-dCXnFtF1p6RynURo5TUwswrVyfcaY93YTuZ4K7fAVMt83VaKTpE8j_zU0cxdjUBS5EC5jUb_Q_J7GxRUsoKk4hQv73-9ZbokJ6BqluQOWZ2r_cUtDjGHBVdKIZTdip36kszc6McMmD6BTDVvtjplJGLpSXE-VtdUhcirX_y_cD789xOFeg9gI-8qgihTy914RVMkt_7QyUQy-51aoSKmxh_OpQrenN6zDaQ4_Px851quOivmAZroLGX4Q3U5-VHb08y8Cy_kFY_1PMxRwAVbXRR5LSypDXNd4EMpU2AQDgIHB2HXuuRFb9mDHCWuoHWMjpJPjYRjQslM5FSatzRhiiWUR8yyWggGufAUYXAH8ZPA==&p=2&fvj=1&vjs=3,Vancouver,,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,
30,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AbcLYJH6EEU2hhfUhIe4V-wtZUPXOEfJh72XLwlGjJwXW5GoFa_FpE5T_tYPp8kQ7XdGi53E9kuRHlvWyVxJs7IHFa9CbcbNEaFpC5Jr-szMySZflEEKoLreGUdNZrrTp7w3AkCviqTM5FVG9uTkQA_tSm2YX1zKEnVcKUwD-eJKSh94AG2zUyzfz_Rw6E06IhpzBNv-RregPf9nHzKKyay0ekaP-jw-eui7Qlza4w-PCHJ9t_fRnZQi-DFPCNYaIwiLi0-ZaI9zin7VJc_E6u6Vs4Cj7jMj7bstukdOc-w3g26_zcUxEBTNzhUY3CYBRMwfwrR6er-nqhmygL0vI43Wo3uSCSQmJUG9EefZ4tGpsJNj5XmBbVKy-k-ElzTL4PgnpOf98BtdiWi6XFbsnaAXObVyd8DjCZ_H6CN0DY7TnkpRQ95FJr&p=3&fvj=0&vjs=3,Vancouver,1,1,,1,,,1,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,1,1,1,1,,,,,1,1,,,
31,"Manager of Data Science, RACE21 - Vancouver",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0COgb4V2UjYp9qNsKIGOmvHVcG-yHWz9LDaJaVNeOircGVmevR22BHAEkSB5zKUi-irKhEHlKXDlbF7lftbogRKpBoop5J137A6e6PFWQjD55YbGNoQEyva4xbvNixJKGUuu4V8SVevVCAOnZCw-1BBn28P2BR7otYT2L8JgXSyyTv2lQQqr88hRxQJ4VHF8opYRUDk6XslDjIMbeD-97NI_czCYfh6QNMKgz_A6PWbzhvjlYM9TTW40iJZc-Xrb_OyfeDTpAwYfRewC10WQ1KLCDSSR2xmvzp5jS_RUGPJsNB79VdjHEOz6SDdKH3WjYl0u70Hf7uzGYoNThLb1o6CSDlnAPGP3xQMtTIw_ut0lxrj8A6sUdTv7hOy4MAw-n--hoe-oMDuQCqia3oqrRUI4Hxqe9Fu5Yquiu2vpAH2w0jQxjmAtlZ_GjJoJ2ipAYZyUJ1Y82W4dEwE2D9Syqfi6TCcH7qOKX9bXv2WIlIp1B4NeMX2quwgBabombxzcRZrnKyVLgQ_buWkUP_9nfzSPaWU4OXBynP-Zq5EkuReZ4_Te3Ij6JZdGvoKMjujovorQQkfnDaZPN5p-gTyS7oKBHzKzXbexEKifqS9msAaBROe-HqVK4rRafTfBTt3B7B8JP1HaNIS_MxnaGP9kt4PkUy1KnqIq2s=&p=4&fvj=1&vjs=3,Vancouver,1,1,,,,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,1,,,,,,,1,1,1,1,,,,,,1,1,1,,
32,Senior Data Analyst,https://www.indeed.ca/rc/clk?jk=bbeb02962e6d12f4&fccid=0eb6bfa916196cb8&vjs=3,Vancouver,,,,1,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1
33,Data Scientist - Planning Team,https://www.indeed.ca/rc/clk?jk=73696585b1d3afaa&fccid=711526f7ec4307bf&vjs=3,Vancouver,,1,,1,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,,1,,1,,,,,,,1,1,,,
34,Applied Scientist II,https://www.indeed.ca/rc/clk?jk=84ee47be32aed34f&fccid=fe2d21eef233e94a&vjs=3,Vancouver,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,1,,,,,1,,1,1,,,
35,Data Scientist - RACE21,https://www.indeed.ca/rc/clk?jk=dd58e13fddcc99a9&fccid=33dfaa8965cf2bf4&vjs=3,Vancouver,,,,,1,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,1,,1,1,1,,,,,,1,1,,
36,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=6344f097204ba2e2&fccid=156c7820d1988640&vjs=3,Vancouver,1,1,,1,1,,1,1,,,,,1,,,,,1,1,,1,,1,,,,,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,1,1,,,
37,Machine learning / image processing - Apr to Sep,https://www.indeed.ca/company/Autometrics-Manufacturing-Technologies-Inc/jobs/Machine-Learning-ea79dcb3a981c213?fccid=0be6d13beb4f2244&vjs=3,Vancouver,,1,1,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
38,Data Scientist - Advertising & Attribution,https://www.indeed.ca/rc/clk?jk=e6a60433195af84a&fccid=711526f7ec4307bf&vjs=3,Vancouver,,1,,1,1,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,1,,,
39,Senior Data Analyst,https://www.indeed.ca/rc/clk?jk=ca75db39a882e9cd&fccid=617d7f961cfcf54a&vjs=3,Vancouver,1,1,,1,1,,,,,1,,,1,,,,1,1,1,1,1,,,,,,,1,1,,,,,1,,,,,,1,,,,,1,1,1,,,,,,,,1,
40,Senior Enterprise Data Analyst,https://www.indeed.ca/rc/clk?jk=d88081d9e02cdea4&fccid=cc35cdc10c90c921&vjs=3,Vancouver,,1,,1,1,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,,,,,,1,,,
41,Data Architect (Advanced Analytics),https://www.indeed.ca/rc/clk?jk=eca352b2c2676b3a&fccid=5e6c2d9e10fcf23c&vjs=3,Vancouver,1,1,,1,1,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,1,1,,,1,,1,1,1,,
42,Machine Learning Engineer / Data Analyst,https://www.indeed.ca/rc/clk?jk=d94f45593f585223&fccid=dd616958bd9ddc12&vjs=3,Vancouver,1,,,1,1,,,1,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,,,
43,Senior Data Analyst,https://www.indeed.ca/rc/clk?jk=b2d03d9d5de6a267&fccid=027d7cca25a5d14f&vjs=3,Vancouver,,1,,1,1,,,,,,,,1,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
44,Back-end Software Engineer Co-Op (Summer 2020) - Machine Learning,https://www.indeed.ca/rc/clk?jk=b949cf08982e5156&fccid=aef928e89977f7f0&vjs=3,Vancouver,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,
45,Senior Game Data Analyst,https://www.indeed.ca/rc/clk?jk=7d7fcf6afffcedde&fccid=fde47f06a6b44d5e&vjs=3,Vancouver,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,,,,
46,Director of Data and Analytics,https://www.indeed.ca/rc/clk?jk=cc26739911290e98&fccid=7b7909227bb8e2af&vjs=3,Vancouver,,1,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,1,1,1,,
47,Business Intelligence Analyst,https://www.indeed.ca/rc/clk?jk=a92a8f2e0e3c23da&fccid=4c719637234a9580&vjs=3,Vancouver,,1,,1,1,,,,,1,,,1,,,,1,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,1,,,,1,,,1,
48,Senior Renewable Energy Data Analyst,https://www.indeed.ca/company/Clir-Renewables/jobs/Senior-Renewable-Energy-Data-Analyst-ae98d3c3238694e1?fccid=bd752b445a7b1ada&vjs=3,Vancouver,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,
49,"Technical Product Director, Data Analytics",https://www.indeed.ca/rc/clk?jk=a146d6b7fadd13b9&fccid=9579d885a2b359cc&vjs=3,Vancouver,,,,1,1,,1,,1,,,,,,,,,1,1,,,,1,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,1,1,,
