,Job_Name,Link,Job_Location,Mathematics,Statistics,Linear Algebra,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,Object-oriented programming,SQL/databases,NoSQL,SPSS,Stata,Access,Data Mining/Analytics,Visualisation,Tableau,Power BI,Matplot,Machine Learning,KNN,SVM,K-means,Multivariate Analysis,Regression,Classification,NLP,Deep Learning,Time-series,Simulation,Big Data,AWS Cloud,Google Cloud,Databricks,Azure,IBM Cloud,API,Operations research,DevOps,Git,SDLC,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,Decision Making,Consulting
10,Data Scientist,https://www.indeed.ca/rc/clk?jk=2412851c4ddafc91&fccid=935bdcc8ea6ea513&vjs=3,Toronto,1,1,,1,,,,,,1,,,1,,,,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,1,1,,1
11,Data Scientist,https://www.indeed.ca/rc/clk?jk=5edcfb9a7f874634&fccid=3002307a9e5b4706&vjs=3,Toronto,1,,,1,1,,1,1,,,,,1,1,,,1,1,1,1,,,1,,,,,,,,1,,,1,,,,,,,1,,1,,1,1,,,,,,1,1,,,
12,Data Analyst,https://www.indeed.ca/company/SunnyFuture-Career-Ltd./jobs/Data-Analyst-a1800d6984190c21?fccid=d1afcae81392e688&vjs=3,Toronto,1,1,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
13,Data Scientist,https://www.indeed.ca/rc/clk?jk=c07a743e9ffa3b08&fccid=537b899e30af3338&vjs=3,Toronto,1,1,,1,,,1,,,,,,,,,,,1,1,,,1,1,,1,,,,,1,1,,,,,,,,,,,,1,1,,1,,,,,,,,,,
14,Junior Data Scientist,https://www.indeed.ca/rc/clk?jk=eb035b7aaaf2ec3e&fccid=14fcbdb0bd2b535f&vjs=3,Toronto,1,1,,1,,,,,,,,,1,,,,,1,1,1,,,,,,,,1,,,,1,,1,,,,,,,,,,,1,,,1,,,,,1,,,
15,Data Science Co-op,https://www.indeed.ca/rc/clk?jk=7dd3b1596e9063bf&fccid=1005cea9bf029d17&vjs=3,Toronto,,1,,1,,,,,,,,,1,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
16,Data Scientist II,https://www.indeed.ca/rc/clk?jk=d7580fbf6d0cf06a&fccid=d7114f1cac8d0711&vjs=3,Toronto,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,
17,Data Scientist,https://www.indeed.ca/company/MSi-Corp/jobs/Data-Scientist-3206f1f8714b7236?fccid=183e06e7def5a52c&vjs=3,Toronto,1,1,,1,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,
18,Data Scientist,https://www.indeed.ca/rc/clk?jk=0e65fb477b66886c&fccid=617690ce838507f3&vjs=3,Toronto,,1,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
19,Data Scientist,https://www.indeed.ca/rc/clk?jk=3ba340b1c807a009&fccid=088981af222032de&vjs=3,Toronto,,1,1,1,1,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,1,1,,1,,1,,,,,,,1,,1,,,,,,,,,,,
20,Data Scientist,https://www.indeed.ca/rc/clk?jk=fa95daf5ee04790e&fccid=003656df63cede32&vjs=3,Toronto,1,1,1,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,1,,,,,,,,1,1,1,1,,,,,,,1,,,
21,Learn more about our Digital Analytics team!,https://www.indeed.ca/rc/clk?jk=aa8153f46977e8a2&fccid=3002307a9e5b4706&vjs=3,Toronto,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,1,,,
22,University Internship - Data Science,https://www.indeed.ca/rc/clk?jk=13d155249ef32922&fccid=799362a2faa3b40a&vjs=3,Toronto,,,,1,,,,,,1,,1,1,,,,,,,,,,1,,,,,,,1,1,,,1,1,,,1,,,,1,,,,1,,,,,,,,,,
23,"Data Scientist, People Analytics",https://www.indeed.ca/rc/clk?jk=0c21ed9ee7e67a44&fccid=1bf77f1dd2c2631f&vjs=3,Toronto,1,1,,1,1,,1,,,,,,1,,,,,1,1,,,,1,,,,,1,1,,1,1,1,1,1,,,,,,,,,,1,,,1,,,,,,1,,
24,Data Scientist (1 Year Contract),https://www.indeed.ca/rc/clk?jk=605c3999a3e99acb&fccid=237908de095b6446&vjs=3,Toronto,1,1,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,1,,,,,,,,
25,Data Scientist,https://www.indeed.ca/rc/clk?jk=1b6df91ff192cc6c&fccid=734c0fa2088c6315&vjs=3,Toronto,1,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,
26,Data Scientist,https://www.indeed.ca/rc/clk?jk=94c4fe7af9489141&fccid=5434780ac3971e0d&vjs=3,Toronto,1,1,,1,1,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,
27,"Data Scientist, Financial Crimes and Cybersecurity, Senior Associate",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CFuo8Y6gfchSUHQ1--N7NldjQkI7yBNtHdUdaTqsTp_wgBx-mCezkojpE1FqImCDcdMpTknceFKa1yqHEfg7eAzIRiEPi0KnsHBrUZqxbRZ7zRnwJLbU1gJumxWF0-bCwuOKher6Wuzrh9SqRxKGwEK4lbWtiFYzfhzY9SbVl8Tn3MaaDdD-c-uqDBNRBix0RLLJHFj-utGMQM7NqEiTEki1JuO21iSvsRqObk9moJiccW19L13Vye2k28oGrsdfNzWE2ogNrmXSAMgFgWR1Kfj0uBrL-tWOfxVwQ95_h7cyM_nDNu09wpzFysyNpmQ8x-lmx0nyCpP55RGERfxlwm_ef_pCdAF5CYY2AkoTWSAWXz09sKtdHGHNLFmIBw9C8fascWyhBpVEL9JrjEaoi3vX_D2kzJp3qbq96YKJWa-UgDpKVYQ5nzV8ApgCKI9m4YbZUv6Pe2h01PUcGdnda5SlzQLimeMDCftLucAzch5tkwz9RpPV0Ch0P3STl1Iagbxt-FprjnFZb3OA-6IIYLBPp0qgqmY1MGC-T4lck_ZZJtdINUlYAMsBtTpOEkW1KAdZgsAZrrfrDRIaamcRLd8k0rWJdSYjnfB5pYd97rGet8xeTXLOBw&p=0&fvj=0&vjs=3,Toronto,,,,1,1,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,1,1,,1
28,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuhtRoP4pIOFV-qzPyGpRKu6DvbX5mnHgAiEI-giXUWl_zg46QY1wv7wlo_RwgAKMzZvWF35ECJYaqPp_BRzxbR0x7NjMAPAUoi05FYV_TFcsL7GQv-2lm9qWKYUGYpEgWelOZffqueof3oUuVQX0rfEbtocw2OelbG5Rv3zvQ55B933usTSuWxxBCwyhUDndHG6pDfu9q_KAi9Phdv9nvWPld-JfF3Eoj2BoRdjk2CmKcqfFjUJzJJUudPB5WQ8HdP2gbE9nRwHdHgvAOmNxnd6KHcLOt3kua6IR5Y-vi5xeo4bGJ32CN5zGmu3D7IYl2Q61EvRwtbCfV-CNfP5WQmLWHPV_GThl43P4IxpdiufnBGxo84lxxIYcZRIvuu1ZTRT9naFsDKSbQFvU-2QiQq67vQr9BMsrufbV13IfXWdlRE=&p=1&fvj=0&vjs=3,Toronto,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,1,,
29,Senior Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJh6nLV9gLHObvG0TddA7-RURjmZoY7KOQqyAqBKh5U6TSVd_wQzLWmP7_fg3NW-kTzsC1AgEbxsY0TsXliyWga5buCRX3HoUdl0p-UC0M0jK7cJSP-1z8s-s7ER8f5-HMDnBRrjdzSjSAen8YTtV3dr3Hj2h2DndT9ECLAM72wjl-V2IJP-v9BfNXW5kSFjdEmK2DyMeoDcQYg5hCiVt75AAY_R5WauNQC5Mo1OC5yQP5rV7GkMBZq4248IsNLN_0QYpRdwbIRZs7Cq7T2JBl2gLN0BGL54exFhQB55M4EMonZwkj3ABgeXsOgSLTL8YJz16VI9SJqQ9bv2kcKgWWHTl2sGKJYMpG9CvrZD3OGonYWMld2tccaZUUAhqhAUghM3oA86z5IhWpvXzRmaIRc_HFOwHelnu7k=&p=2&fvj=0&vjs=3,Toronto,1,1,,1,1,,,,,1,,,,,,,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,
30,Data Scientist - Price Point ?€? Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEc4AvhGdQcZqzfEOqVeN3-Z-ekXbbTmIMlSfW6hEipoMyIQ2llRi6c6YtA-RLfhLyNg76wRZK9ihcPJxqaRpohkvwyvmCITNPASBa6-htMG2flXO51Az0NS1Ufvj5iu0wuM6jy8_PuFQg3oXL_UpEiEJK3ZMXwWYMFXJgr8bGrVrCDU7q1wsQyzIgJN3CFqd0Nj9hZuod4NGBIMwq-TaJomYhIq2zHqPBmw6W14-EDXOma7uAuBO6YRa2wqETi7XOH4t0hS-amhLCbxpnR7yY4-m7HoIfSehBaNY6a7Dqck4tz1fyupwugjnOw5UgGMHUTgXmidcGuYrSepw78NGcwdRWJfv2fllfTWgqacjO0ZBluIQhl5546xZydCvVzinjQ-fv1sdp9pXGW8kaJSLwNMRtVUd-EU5vg==&p=3&fvj=0&vjs=3,Toronto,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
31,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBY1Q206FYLDEnuXBfK4WUtsA-zRtDt-mhfCYnSsX5TG9x38CfAQxgvzds_hP2Sgr0b-myg0qh4xu0_MEq2iycXv9X9eFTIMwk2trOQxrHCL7aFb7lYj8Dp17Mdy5sysIbK8yKSzmg84ePjHS26VMTouzndL-qWn1S1WcDigD3q1jY-hr2Hiw-SCUzIU4zY2Uy0Sd_AIR2Yrvp3BU3L1Rt7TJpgFX0cGupICFNKuo4z1Qtb26dKP49vdLUZRzaFEViJ5fCHq7Bs8g9kzxZr0sNVdHwJT6tMv_Mg==&p=4&fvj=1&vjs=3,Toronto,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
